epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,836.145,1.62739,1.76956,0.90773,0.00292,0.51932,0.68679,0.68466,0.70835,0.42139,0.66582,0.61589,0.64951,0.3356,1.66554,2.145,1.24082,0.0094,0,0.00033175,0.00033175,0.00033175
29,866.08,1.62787,1.7666,0.8851,0.00286,0.51225,0.71771,0.66921,0.70673,0.43379,0.65415,0.65915,0.65419,0.34996,1.63413,2.03155,1.25016,0.00894,0,0.000307,0.000307,0.000307
30,896.164,1.64289,1.77993,0.89654,0.0029,0.51357,0.6834,0.65976,0.71131,0.4345,0.72545,0.58329,0.65331,0.3463,1.63634,2.124,1.31042,0.00932,0,0.00028225,0.00028225,0.00028225
31,964.905,1.58272,1.72687,0.86014,0.00329,0.2808,0.72469,0.66962,0.71392,0.42153,0.68267,0.61327,0.64547,0.3361,1.67366,2.15063,1.31728,0.00938,0,0.0002575,0.0002575,0.0002575
32,993.947,1.55308,1.68987,0.84013,0.00351,0.26416,0.67839,0.67556,0.71295,0.43109,0.62475,0.61399,0.64881,0.3435,1.64998,2.08363,1.29714,0.00937,0,0.00023275,0.00023275,0.00023275
33,1021.93,1.56031,1.72834,0.82095,0.00351,0.24172,0.68008,0.69361,0.7054,0.42428,0.64391,0.63309,0.64316,0.3393,1.6581,2.09291,1.23931,0.00955,0,0.000208,0.000208,0.000208
34,1049.94,1.53619,1.67549,0.8179,0.00345,0.22548,0.72274,0.70051,0.73743,0.44516,0.68312,0.66196,0.67733,0.36253,1.6229,2.05419,1.2041,0.00908,0,0.00018325,0.00018325,0.00018325
35,1078.14,1.56067,1.68827,0.81403,0.00323,0.21488,0.73192,0.70578,0.75185,0.4519,0.67472,0.64354,0.6715,0.35639,1.67174,2.08601,1.15495,0.00911,0,0.0001585,0.0001585,0.0001585
36,1106.26,1.53193,1.66351,0.80192,0.00345,0.21253,0.70141,0.69956,0.74798,0.44932,0.66491,0.65441,0.67482,0.35363,1.665,2.11096,1.17302,0.00935,0,0.00013375,0.00013375,0.00013375
37,1133.77,1.54844,1.69046,0.79922,0.00357,0.21214,0.67726,0.73339,0.75355,0.46235,0.66385,0.68993,0.68956,0.37123,1.63077,2.088,1.17636,0.00908,0,0.000109,0.000109,0.000109
38,1161.5,1.51506,1.64329,0.77754,0.00303,0.20575,0.73209,0.7002,0.76233,0.47245,0.71051,0.66861,0.69965,0.37797,1.62649,2.10301,1.1455,0.00892,0,8.425e-05,8.425e-05,8.425e-05
39,1189.69,1.51092,1.63325,0.78017,0.00327,0.21588,0.71563,0.70443,0.75437,0.46856,0.67664,0.64958,0.68794,0.37698,1.61516,2.07213,1.15474,0.00882,0,5.95e-05,5.95e-05,5.95e-05
40,1217.64,1.49833,1.62142,0.77424,0.00339,0.21616,0.74603,0.67703,0.7536,0.46891,0.68231,0.65638,0.68561,0.36808,1.62631,2.07736,1.15589,0.00892,0,3.475e-05,3.475e-05,3.475e-05
