epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,806.539,1.88905,2.22002,1.26711,0.00391,1.01356,0.5177,0.527,0.51345,0.25544,0.46744,0.5705,0.49328,0.21977,1.91309,2.41425,1.61966,0.01145,0,0.0007327,0.0007327,0.0007327
29,835.324,1.87176,2.16177,1.25321,0.00367,0.99842,0.61068,0.48555,0.52888,0.26304,0.58609,0.46989,0.494,0.22471,1.87178,2.40127,1.5631,0.01104,0,0.0007228,0.0007228,0.0007228
30,864.186,1.87699,2.16211,1.24363,0.00364,1.02997,0.52197,0.3685,0.43358,0.2266,0.39668,0.43539,0.40344,0.18108,1.97915,2.32679,1.7013,0.01289,0,0.0007129,0.0007129,0.0007129
31,893.61,1.85179,2.12682,1.22517,0.00374,1.02702,0.52063,0.54876,0.51569,0.26037,0.47426,0.56037,0.49896,0.21474,1.85982,2.37272,1.64345,0.01102,0,0.000703,0.000703,0.000703
32,922.828,1.85938,2.13225,1.24997,0.00376,0.98002,0.64336,0.57011,0.57275,0.27748,0.59056,0.52043,0.51405,0.22529,1.88001,2.312,1.65106,0.01145,0,0.0006931,0.0006931,0.0006931
33,952.499,1.87866,2.12075,1.2375,0.00376,0.9402,0.55187,0.49462,0.48548,0.24356,0.54018,0.457,0.46048,0.19409,1.94735,2.37657,1.74754,0.01167,0,0.0006832,0.0006832,0.0006832
34,982.141,1.83846,2.08609,1.21865,0.0038,0.93868,0.56941,0.54007,0.53011,0.25547,0.55957,0.50993,0.50242,0.21305,1.8587,2.2603,1.6373,0.0116,0,0.0006733,0.0006733,0.0006733
35,1010.99,1.84866,2.12874,1.22651,0.00361,0.92586,0.50879,0.4653,0.51621,0.2591,0.53969,0.47118,0.49964,0.21906,1.8872,2.37565,1.5758,0.0117,0,0.0006634,0.0006634,0.0006634
36,1039.36,1.82032,2.10298,1.19541,0.00366,0.88886,0.47175,0.55622,0.52345,0.26924,0.47223,0.54469,0.49199,0.21473,1.85345,2.33013,1.55321,0.01161,0,0.0006535,0.0006535,0.0006535
37,1067.68,1.82439,2.09219,1.20311,0.00374,0.87948,0.57446,0.49151,0.52761,0.26737,0.57193,0.48619,0.4878,0.20776,1.86948,2.35515,1.62826,0.01075,0,0.0006436,0.0006436,0.0006436
38,1096.31,1.83089,2.08318,1.20058,0.00373,0.88297,0.6046,0.58582,0.61116,0.30308,0.5936,0.51862,0.54859,0.25123,1.83437,2.30279,1.49599,0.01088,0,0.0006337,0.0006337,0.0006337
39,1124.87,1.84436,2.06898,1.18056,0.00358,0.87312,0.59166,0.61878,0.58542,0.29214,0.54413,0.58144,0.51345,0.23896,1.85194,2.31971,1.49378,0.01154,0,0.0006238,0.0006238,0.0006238
40,1153.39,1.81983,2.07775,1.16108,0.0034,0.85461,0.48769,0.50749,0.47955,0.25468,0.49382,0.50122,0.46202,0.19408,1.84404,2.29314,1.73349,0.01053,0,0.0006139,0.0006139,0.0006139
41,1182.01,1.81606,2.09058,1.19237,0.00354,0.85614,0.49166,0.59518,0.56233,0.29689,0.45501,0.55502,0.50661,0.2365,1.80285,2.29226,1.50172,0.01101,0,0.000604,0.000604,0.000604
42,1210.59,1.83039,2.06546,1.18454,0.00356,0.86295,0.57872,0.55142,0.56423,0.30362,0.58654,0.54297,0.55137,0.24027,1.77286,2.25214,1.51663,0.01029,0,0.0005941,0.0005941,0.0005941
43,1239.42,1.82004,2.05438,1.14984,0.00354,0.85343,0.57526,0.54207,0.56275,0.28853,0.53718,0.50492,0.5039,0.2203,1.82437,2.25512,1.63103,0.0103,0,0.0005842,0.0005842,0.0005842
44,1268.38,1.80463,2.06879,1.15803,0.00345,0.81854,0.62429,0.55713,0.59699,0.30529,0.62697,0.53563,0.56063,0.25675,1.79042,2.29945,1.48777,0.01031,0,0.0005743,0.0005743,0.0005743
45,1297.66,1.82735,2.06757,1.14828,0.00334,0.82939,0.60511,0.53248,0.58903,0.31157,0.65111,0.53445,0.58617,0.26191,1.80386,2.3113,1.47974,0.0104,0,0.0005644,0.0005644,0.0005644
46,1327.04,1.80025,2.03663,1.14708,0.00345,0.82117,0.65715,0.53764,0.61475,0.33363,0.66327,0.5295,0.58696,0.27169,1.79042,2.27744,1.52974,0.00946,0,0.0005545,0.0005545,0.0005545
47,1355.99,1.78311,2.04068,1.11326,0.00351,0.79739,0.63538,0.55464,0.6116,0.3279,0.66781,0.52291,0.57463,0.26059,1.81231,2.40158,1.5263,0.01114,0,0.0005446,0.0005446,0.0005446
48,1384.64,1.78,2.0346,1.12334,0.0035,0.77345,0.60022,0.55602,0.59183,0.31073,0.57279,0.53647,0.54376,0.25033,1.82933,2.32521,1.55865,0.01081,0,0.0005347,0.0005347,0.0005347
49,1413.57,1.77605,1.97081,1.10374,0.00332,0.76042,0.59853,0.58407,0.59933,0.30686,0.5763,0.54427,0.55139,0.24835,1.81236,2.40562,1.47303,0.0108,0,0.0005248,0.0005248,0.0005248
50,1442.41,1.78145,2.02375,1.10351,0.00335,0.77381,0.57898,0.62451,0.60745,0.30397,0.53857,0.55943,0.53348,0.24162,1.81319,2.25117,1.42062,0.01024,0,0.0005149,0.0005149,0.0005149
51,1471.32,1.78879,2.0135,1.10544,0.00337,0.76696,0.61022,0.5318,0.57012,0.32089,0.56623,0.51082,0.53056,0.25633,1.7408,2.24137,1.44547,0.00982,0,0.000505,0.000505,0.000505
52,1500.05,1.75193,1.99551,1.09549,0.00342,0.74968,0.60222,0.61116,0.63084,0.32637,0.58918,0.58015,0.58421,0.26079,1.82333,2.25938,1.42927,0.01013,0,0.0004951,0.0004951,0.0004951
53,1528.52,1.75874,1.98036,1.08353,0.00334,0.72879,0.69176,0.54335,0.63517,0.34307,0.73001,0.53152,0.60308,0.29114,1.74254,2.26416,1.44808,0.0096,0,0.0004852,0.0004852,0.0004852
54,1557.06,1.73194,1.94876,1.07269,0.00332,0.7478,0.59786,0.58222,0.57424,0.30011,0.56339,0.51649,0.50447,0.23808,1.78135,2.25736,1.49082,0.01012,0,0.0004753,0.0004753,0.0004753
55,1586.24,1.77154,1.96273,1.08421,0.00323,0.72024,0.59891,0.5805,0.58332,0.31832,0.56305,0.54662,0.53898,0.25826,1.78857,2.19329,1.42794,0.01023,0,0.0004654,0.0004654,0.0004654
56,1614.86,1.76051,1.96161,1.08815,0.00332,0.72778,0.64886,0.60876,0.64001,0.33814,0.60065,0.55527,0.58078,0.28047,1.78242,2.26708,1.41337,0.01025,0,0.0004555,0.0004555,0.0004555
57,1643.72,1.72845,1.9394,1.05821,0.00329,0.74336,0.63101,0.50076,0.61419,0.30764,0.65271,0.46394,0.53604,0.23864,1.84638,2.2978,1.4402,0.01082,0,0.0004456,0.0004456,0.0004456
58,1672.68,1.74527,1.96482,1.08168,0.00323,0.75406,0.65536,0.58607,0.63382,0.34797,0.61517,0.53749,0.57188,0.27464,1.77543,2.31076,1.44182,0.01057,0,0.0004357,0.0004357,0.0004357
59,1701,1.76089,1.95278,1.07107,0.0033,0.70687,0.58563,0.6207,0.62426,0.3443,0.59827,0.58407,0.58447,0.27314,1.76894,2.259,1.44916,0.0106,0,0.0004258,0.0004258,0.0004258
60,1729.66,1.74653,1.94363,1.04422,0.00319,0.66664,0.59963,0.67213,0.64939,0.34351,0.60342,0.60208,0.59587,0.29125,1.77115,2.21974,1.36126,0.01053,0,0.0004159,0.0004159,0.0004159
61,1758.34,1.69625,1.91609,1.01895,0.00326,0.65658,0.58221,0.62428,0.6421,0.35988,0.59191,0.56599,0.59614,0.30553,1.74677,2.16753,1.34033,0.01058,0,0.000406,0.000406,0.000406
62,1787.12,1.72931,1.92406,1.02356,0.00314,0.65098,0.64003,0.6444,0.66649,0.37046,0.60675,0.60284,0.61464,0.30914,1.75333,2.16164,1.31846,0.01016,0,0.0003961,0.0003961,0.0003961
63,1815.8,1.71004,1.88058,1.01392,0.00315,0.6658,0.64784,0.62529,0.66542,0.37816,0.62105,0.59996,0.60962,0.30686,1.7519,2.23743,1.3266,0.01034,0,0.0003862,0.0003862,0.0003862
64,1844.51,1.70773,1.92565,1.01252,0.00313,0.63951,0.67127,0.65601,0.68211,0.37913,0.64094,0.59476,0.61082,0.31113,1.74575,2.24798,1.30959,0.01,0,0.0003763,0.0003763,0.0003763
65,1873.26,1.69952,1.88926,1.00723,0.00317,0.64532,0.60353,0.63628,0.64376,0.36723,0.60485,0.54635,0.58782,0.30379,1.71842,2.22013,1.33033,0.0097,0,0.0003664,0.0003664,0.0003664
66,1901.88,1.72613,1.93211,1.03151,0.00325,0.67104,0.64157,0.65028,0.66853,0.37169,0.59714,0.60876,0.60554,0.30808,1.77298,2.26762,1.3617,0.01002,0,0.0003565,0.0003565,0.0003565
67,1930.92,1.71271,1.89868,1.00766,0.00309,0.63236,0.68194,0.66208,0.69965,0.38365,0.65633,0.63063,0.65011,0.32769,1.72571,2.13984,1.29709,0.00964,0,0.0003466,0.0003466,0.0003466
68,1960.46,1.7168,1.86417,1.01181,0.00309,0.61817,0.66289,0.58463,0.6518,0.38878,0.63089,0.54588,0.59727,0.31159,1.72875,2.2201,1.3749,0.00973,0,0.0003367,0.0003367,0.0003367
69,1989.04,1.67688,1.85787,1.00082,0.00309,0.5954,0.68878,0.65385,0.7035,0.40886,0.64489,0.61104,0.63761,0.33076,1.69135,2.16078,1.33883,0.0096,0,0.0003268,0.0003268,0.0003268
70,2018.4,1.68889,1.88443,0.97499,0.00299,0.60455,0.71699,0.64626,0.71608,0.40611,0.67459,0.59687,0.63712,0.32979,1.71314,2.17811,1.32116,0.0094,0,0.0003169,0.0003169,0.0003169
71,2047.45,1.69101,1.87365,0.97999,0.00311,0.60642,0.69059,0.67427,0.69934,0.39432,0.64701,0.62526,0.63103,0.32189,1.6968,2.13683,1.26805,0.00953,0,0.000307,0.000307,0.000307
72,2076.55,1.69562,1.86625,0.9652,0.00301,0.6131,0.73275,0.61438,0.70418,0.38883,0.71466,0.59479,0.65754,0.31814,1.68344,2.12609,1.25334,0.00909,0,0.0002971,0.0002971,0.0002971
73,2104.77,1.65717,1.82985,0.95734,0.00303,0.5921,0.71786,0.6307,0.68863,0.38619,0.70867,0.56963,0.63413,0.31148,1.73013,2.11324,1.27915,0.00946,0,0.0002872,0.0002872,0.0002872
74,2133.75,1.6757,1.84341,0.9569,0.00295,0.58518,0.7572,0.618,0.70532,0.39832,0.75915,0.60056,0.66903,0.32457,1.70545,2.13128,1.21487,0.00947,0,0.0002773,0.0002773,0.0002773
75,2162.21,1.64257,1.82131,0.9312,0.00303,0.5549,0.68972,0.61807,0.68788,0.39237,0.67023,0.59211,0.63344,0.3177,1.72015,2.14735,1.24028,0.00988,0,0.0002674,0.0002674,0.0002674
76,2190.86,1.66559,1.8192,0.93509,0.00301,0.5668,0.7078,0.6795,0.70019,0.40074,0.67867,0.62064,0.64867,0.32378,1.67602,2.10866,1.24704,0.00934,0,0.0002575,0.0002575,0.0002575
77,2220.08,1.67515,1.83217,0.93559,0.00285,0.53725,0.71333,0.69724,0.71382,0.40294,0.69217,0.6306,0.6629,0.32512,1.72656,2.11602,1.22929,0.00953,0,0.0002476,0.0002476,0.0002476
78,2248.8,1.67514,1.84581,0.95082,0.00308,0.55145,0.76625,0.61991,0.70941,0.39916,0.74574,0.57385,0.65199,0.32658,1.67884,2.08115,1.2387,0.00926,0,0.0002377,0.0002377,0.0002377
